"<ol>
<li>bain – banc</li>
<li>sain – sans</li>
<li>main – ment</li>
<li>plein – plan</li>
<li>vin – vent</li>
</ol>",[sound:prononiacion-in-an-2.mp3],prononciation_in_an_exercice_lecon_de_prononciation_francais_facile
"<ol>
<li>banc – bain</li>
<li>sans – sain</li>
<li>ment – main</li>
<li>plan – plein</li>
<li>vent – vin</li>
</ol>",[sound:prononiacion-in-an-3.mp3],prononciation_in_an_exercice_lecon_de_prononciation_francais_facile
"<ol>
<li>Elle est belle.</li>
<li>Elle le sait !</li>
<li>Un italien</li>
<li>Elle l’a fait.</li>
<li>Tu as faim ?</li>
<li>Voici du pain.</li>
<li>Voici du miel.</li>
<li>Je viens demain.</li>
<li>Quelle belle mer !</li>
<li>Un marin.</li>
</ol>",[sound:e-in-exercice1.mp3],opposition_e_in
"<ol>
<li>baie – bain</li>
<li>sais – saint</li>
<li>mais – main</li>
<li>tait – teint</li>
<li>vais – vin</li>
</ol>",[sound:e-in-exercice2.mp3],opposition_e_in
"<ol>
<li>bain – baie</li>
<li>sain – sais</li>
<li>main – mais</li>
<li>pin – paie</li>
<li>vin – vais</li>
</ol>",[sound:e-in-exercice3.mp3],opposition_e_in
"<ol>
<li>Elle est belle.</li>
<li>Elle le sait !</li>
<li>Un italien</li>
<li>Elle l’a fait.</li>
<li>Tu as faim ?</li>
<li>Voici du pain.</li>
<li>Voici du miel.</li>
<li>Je viens demain.</li>
<li>Quelle belle mer !</li>
<li>Un marin.</li>
</ol>",[sound:e-in-exercice1.mp3],opposition_e_in
"<ol>
<li>baie – bain</li>
<li>sais – saint</li>
<li>mais – main</li>
<li>tait – teint</li>
<li>vais – vin</li>
</ol>",[sound:e-in-exercice2.mp3],opposition_e_in
"<ol>
<li>bain – baie</li>
<li>sain – sais</li>
<li>main – mais</li>
<li>pin – paie</li>
<li>vin – vais</li>
</ol>",[sound:e-in-exercice3.mp3],opposition_e_in
"<ol>
<li>Exercice de discrimination auditive des sons  « i-é » : exercices 1_2.</li>
<li>Écoute et répétition des sons « i-é » : exercices 3_8</li>
<li>Exercice de discrimination auditive des sons « i-é » : exercice 9.</li>
</ol>",[sound:i_e_exercice_1.mp3],exercice_discrimination_auditive
"<ol>
<li>L’épée. <b> </b>L’épi. (différent)</li>
<li>Listé. Lister. (identique)</li>
<li>Fini. Finit. (identique)</li>
<li>Ici. Hissez. (différent)</li>
<li>Mini. Miner. <b> </b>(différent)</li>
<li>Des tickets. <b> </b>Des tickets.<b> </b>(identique)</li>
<li>L’édit. L’idée. (différent).</li>
<li>Amitié. Amitié. (identique).</li>
</ol>",[sound:i_e_exercice_2.mp3],exercice_discrimination_auditive
